,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average,Consumer Price Index for All Urban Consumers: Used Cars and Trucks in U.S. City Average,Consumer Price Index in the United States (DISCONTINUED),Consumer Price Index in Japan (DISCONTINUED),Consumer Price Index in Canada (DISCONTINUED),Harmonized Index of Consumer Prices: All Items for Euro area (19 countries),Harmonized Index of Consumer Prices: All Items for United States,Harmonized Index of Consumer Prices: Energy for Euro area (19 countries),Research Consumer Price Index: All Items,Research Consumer Price Index: Housing,Research Consumer Price Index: Medical Care
1940-07-01,,,,,,,,,,,,
1940-08-01,,,,,,,,,,,,
1940-09-01,,,,,,,,,,,,
1940-10-01,,,,,,,,,,,,
1940-11-01,,,,,,,,,,,,
1940-12-01,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,
1941-02-01,,,,,,,,,,,,
1941-03-01,,,,,,,,,,,,
1941-04-01,,,,,,,,,,,,
1941-05-01,,,,,,,,,,,,
1941-06-01,,,,,,,,,,,,
1941-07-01,,,,,,,,,,,,
1941-08-01,,,,,,,,,,,,
1941-09-01,,,,,,,,,,,,
1941-10-01,,,,,,,,,,,,
1941-11-01,,,,,,,,,,,,
1941-12-01,,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,
1942-02-01,,,,,,,,,,,,
1942-03-01,,,,,,,,,,,,
1942-04-01,,,,,,,,,,,,
1942-05-01,,,,,,,,,,,,
1942-06-01,,,,,,,,,,,,
1942-07-01,,,,,,,,,,,,
1942-08-01,,,,,,,,,,,,
1942-09-01,,,,,,,,,,,,
1942-10-01,,,,,,,,,,,,
1942-11-01,,,,,,,,,,,,
1942-12-01,,,,,,,,,,,,
1943-01-01,,,,,,,,,,,,
1943-02-01,,,,,,,,,,,,
1943-03-01,,,,,,,,,,,,
1943-04-01,,,,,,,,,,,,
1943-05-01,,,,,,,,,,,,
1943-06-01,,,,,,,,,,,,
1943-07-01,,,,,,,,,,,,
1943-08-01,,,,,,,,,,,,
1943-09-01,,,,,,,,,,,,
1943-10-01,,,,,,,,,,,,
1943-11-01,,,,,,,,,,,,
1943-12-01,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,
1944-02-01,,,,,,,,,,,,
1944-03-01,,,,,,,,,,,,
1944-04-01,,,,,,,,,,,,
1944-05-01,,,,,,,,,,,,
1944-06-01,,,,,,,,,,,,
1944-07-01,,,,,,,,,,,,
1944-08-01,,,,,,,,,,,,
1944-09-01,,,,,,,,,,,,
1944-10-01,,,,,,,,,,,,
1944-11-01,,,,,,,,,,,,
1944-12-01,,,,,,,,,,,,
1945-01-01,,,,,,,,,,,,
1945-02-01,,,,,,,,,,,,
1945-03-01,,,,,,,,,,,,
1945-04-01,,,,,,,,,,,,
1945-05-01,,,,,,,,,,,,
1945-06-01,,,,,,,,,,,,
1945-07-01,,,,,,,,,,,,
1945-08-01,,,,,,,,,,,,
1945-09-01,,,,,,,,,,,,
1945-10-01,,,,,,,,,,,,
1945-11-01,,,,,,,,,,,,
1945-12-01,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,
1946-02-01,,,,,,,,,,,,
1946-03-01,,,,,,,,,,,,
1946-04-01,,,,,,,,,,,,
1946-05-01,,,,,,,,,,,,
1946-06-01,,,,,,,,,,,,
1946-07-01,,,,,,,,,,,,
1946-08-01,,,,,,,,,,,,
1946-09-01,,,,,,,,,,,,
1946-10-01,,,,,,,,,,,,
1946-11-01,,,,,,,,,,,,
1946-12-01,,,,,,,,,,,,
1947-01-01,21.48,,,,,,,,,,,
1947-02-01,21.62,,,,,,,,,,,
1947-03-01,22.0,,,,,,,,,,,
1947-04-01,22.0,,,,,,,,,,,
1947-05-01,21.95,,,,,,,,,,,
1947-06-01,22.08,,,,,,,,,,,
1947-07-01,22.23,,,,,,,,,,,
1947-08-01,22.4,,,,,,,,,,,
1947-09-01,22.84,,,,,,,,,,,
1947-10-01,22.91,,,,,,,,,,,
1947-11-01,23.06,,,,,,,,,,,
1947-12-01,23.41,,,,,,,,,,,
1948-01-01,23.68,,,,,,,,,,,
1948-02-01,23.67,,,,,,,,,,,
1948-03-01,23.5,,,,,,,,,,,
1948-04-01,23.82,,,,,,,,,,,
1948-05-01,24.01,,,,,,,,,,,
1948-06-01,24.15,,,,,,,,,,,
1948-07-01,24.4,,,,,,,,,,,
1948-08-01,24.43,,,,,,,,,,,
1948-09-01,24.36,,,,,,,,,,,
1948-10-01,24.31,,,,,,,,,,,
1948-11-01,24.16,,,,,,,,,,,
1948-12-01,24.05,,,,,,,,,,,
1949-01-01,24.01,,,,,,,,,,,
1949-02-01,23.91,,,,,,,,,,,
1949-03-01,23.91,,,,,,,,,,,
1949-04-01,23.92,,,,,,,,,,,
1949-05-01,23.91,,,,,,,,,,,
1949-06-01,23.92,,,,,,,,,,,
1949-07-01,23.7,,,,,,,,,,,
1949-08-01,23.7,,,,,,,,,,,
1949-09-01,23.75,,,,,,,,,,,
1949-10-01,23.67,,,,,,,,,,,
1949-11-01,23.7,,,,,,,,,,,
1949-12-01,23.61,,,,,,,,,,,
1950-01-01,23.51,,,24.1,,21.6,,,,,,
1950-02-01,23.61,,,,,,,,,,,
1950-03-01,23.64,,,,,,,,,,,
1950-04-01,23.65,,,,,,,,,,,
1950-05-01,23.77,,,,,,,,,,,
1950-06-01,23.88,,,,,,,,,,,
1950-07-01,24.07,,,,,,,,,,,
1950-08-01,24.2,,,,,,,,,,,
1950-09-01,24.34,,,,,,,,,,,
1950-10-01,24.5,,,,,,,,,,,
1950-11-01,24.6,,,,,,,,,,,
1950-12-01,24.98,,,,,,,,,,,
1951-01-01,25.38,,,26.0,,23.8,,,,,,
1951-02-01,25.83,,,,,,,,,,,
1951-03-01,25.88,,,,,,,,,,,
1951-04-01,25.92,,,,,,,,,,,
1951-05-01,25.99,,,,,,,,,,,
1951-06-01,25.93,,,,,,,,,,,
1951-07-01,25.91,,,,,,,,,,,
1951-08-01,25.86,,,,,,,,,,,
1951-09-01,26.03,,,,,,,,,,,
1951-10-01,26.16,,,,,,,,,,,
1951-11-01,26.32,,,,,,,,,,,
1951-12-01,26.47,,,,,,,,,,,
1952-01-01,26.45,,,26.5,,24.5,,,,,,
1952-02-01,26.41,,,,,,,,,,,
1952-03-01,26.39,,,,,,,,,,,
1952-04-01,26.46,,,,,,,,,,,
